id_ag_num_a;id_ag_num_b;1;2;3;4;5;6;7;NO_x;NAME_x;LON_x;LAT_x;NO_y;NAME_y;LON_y;LAT_y;ID
10603;10594;12.0;12.0;12.0;12.0;12.0;7.0;0.0;10603;VARCES-ALLIERES-ET-RISSET, LA POMMERAIE;5.672060012817383;45.087650299072266;10594;VARCES-ALLIERES-ET-RISSET, LES PLATANES;5.677700042724609;45.08932876586914;750
10604;10163;54.0;54.0;54.0;54.0;54.0;37.0;14.0;10604;CLAIX, POMPIDOU;5.692550182342529;45.119930267333984;10163;CLAIX, LA CHIEZE;5.682509899139404;45.12118148803711;751
10604;10294;6.0;6.0;6.0;6.0;6.0;6.0;0.0;10604;CLAIX, POMPIDOU;5.692550182342529;45.119930267333984;10294;CLAIX, FOND RATEL;5.689350128173828;45.12215042114258;752
10604;10631;60.0;60.0;60.0;60.0;60.0;43.0;14.0;10604;CLAIX, POMPIDOU;5.692550182342529;45.119930267333984;10631;CLAIX, PONT ROUGE;5.692540168762207;45.11832046508789;753
10605;10313;9.0;9.0;9.0;9.0;9.0;5.0;0.0;10605;CHAMP-SUR-DRAC, PONT DE CHAMP;5.730740070343018;45.0884895324707;10313;CHAMP-SUR-DRAC, JARRIE GARE;5.742400169372559;45.08386993408203;754
10605;10662;8.0;8.0;8.0;8.0;8.0;5.0;0.0;10605;CHAMP-SUR-DRAC, PONT DE CHAMP;5.730740070343018;45.0884895324707;10662;CHAMP-SUR-DRAC, ESPACE NAVARRE;5.730669975280762;45.08662033081055;755
10607;10682;50.0;50.0;50.0;50.0;50.0;36.0;15.0;10607;VIF, LE PONT DE GENEVREY;5.651710033416748;45.02851867675781;10682;LE GUA, LES SAILLANTS;5.6458001136779785;45.02463150024414;756
10607;10741;51.0;51.0;51.0;51.0;51.0;36.0;15.0;10607;VIF, LE PONT DE GENEVREY;5.651710033416748;45.02851867675781;10741;VIF, L'USINE NORD;5.652810096740723;45.029998779296875;757
10608;10221;38.0;38.0;38.0;38.0;38.0;16.0;13.0;10608;VIZILLE, LE PONT DU MAS;5.788869857788086;45.086788177490234;10221;VIZILLE, LES CORNIERS;5.7875800132751465;45.08176040649414;758
10608;10735;38.0;38.0;38.0;38.0;38.0;16.0;13.0;10608;VIZILLE, LE PONT DU MAS;5.788869857788086;45.086788177490234;10735;VAULNAVEYS-LE-BAS, LES TRAVERS;5.791619777679443;45.0913200378418;759
10610;10133;70.0;70.0;70.0;70.0;70.0;57.0;27.0;10610;SAINT-MARTIN-D'HERES, PORTE DU GRESIVAUDAN;5.7766499519348145;45.18252944946289;10133;SAINT-MARTIN-D'HERES, CHAMP ROMAN;5.768239974975586;45.18437957763672;760
