sous_ligne;id_ligne_num;route_short_name;route_long_name;1;2;3;4;5;6;7
32_1_10150_10548_11_3750.0;32;54;Saint-Égrève Pont de Vence / Grenoble Oxford;22.5;22.5;22.5;22.5;22.5;22.5;0.0
32_1_10633_10548_19_3750.0;32;54;Saint-Égrève Pont de Vence / Grenoble Oxford;26.25;26.25;26.25;26.25;26.25;26.25;0.0
33_0_10117_10198_17_2264.0;33;55;Saint-Martin-le-Vinoux Hôtel de Ville / Saint-Martin-le-Vinoux Col de Clémencières;9.056;9.056;6.792;9.056;9.056;0.0;0.0
33_0_10117_10471_16_626.0;33;55;Saint-Martin-le-Vinoux Hôtel de Ville / Saint-Martin-le-Vinoux Col de Clémencières;0.626;0.626;1.252;0.626;0.626;1.878;0.0
33_0_10117_10471_9_0.0;33;55;Saint-Martin-le-Vinoux Hôtel de Ville / Saint-Martin-le-Vinoux Col de Clémencières;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33_1_10198_10117_17_2264.0;33;55;Saint-Martin-le-Vinoux Hôtel de Ville / Saint-Martin-le-Vinoux Col de Clémencières;2.264;2.264;2.264;2.264;2.264;0.0;0.0
33_1_10471_10117_16_626.0;33;55;Saint-Martin-le-Vinoux Hôtel de Ville / Saint-Martin-le-Vinoux Col de Clémencières;3.13;3.13;2.504;3.13;3.13;3.13;0.0
33_1_10471_10117_9_0.0;33;55;Saint-Martin-le-Vinoux Hôtel de Ville / Saint-Martin-le-Vinoux Col de Clémencières;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34_0_10114_10117_15_746.0;34;56;Quaix-en-Chartreuse La Cime de Mont-Quaix / Grenoble Casamaures - Village;0.746;0.746;0.0;0.746;0.746;0.0;0.0
34_0_10114_10174_21_4290.0;34;56;Quaix-en-Chartreuse La Cime de Mont-Quaix / Grenoble Casamaures - Village;8.58;8.58;17.16;8.58;8.58;21.45;0.0
34_0_10198_10117_17_1837.0;34;56;Quaix-en-Chartreuse La Cime de Mont-Quaix / Grenoble Casamaures - Village;5.511;5.511;3.674;5.511;5.511;0.0;0.0
34_1_10117_10114_15_746.0;34;56;Quaix-en-Chartreuse La Cime de Mont-Quaix / Grenoble Casamaures - Village;0.746;0.746;0.746;0.746;0.746;0.0;0.0
34_1_10117_10198_17_1837.0;34;56;Quaix-en-Chartreuse La Cime de Mont-Quaix / Grenoble Casamaures - Village;5.511;5.511;3.674;5.511;5.511;0.0;0.0
34_1_10174_10114_21_4290.0;34;56;Quaix-en-Chartreuse La Cime de Mont-Quaix / Grenoble Casamaures - Village;8.58;8.58;8.58;8.58;8.58;17.16;0.0
35_0_10346_10376_21_11632.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;23.264;23.264;23.264;23.264;23.264;0.0;0.0
35_0_10346_10376_32_7823.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;54.761;54.761;46.938;54.761;54.761;0.0;0.0
35_0_10346_10376_33_7823.0;35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;7.823;7.823;7.823;7.823;7.823;0.0;0.0
